,YEAR,Week,SEASON,PM_RETIRO,PM_VALLECAS,PM_CIUDADLINEAL,PM_CENTRO,DEW_POINT,HUMIDITY,PREASSURE,TEMPERATURE,WIND_SPEED,COMMULATIVE_PRECIPITATION,formatted_date,YearWeek
0,2010,1,4,0.0,0.0,0.0,74.11904761904762,-19.976190476190474,50.67857142857143,1031.470238095238,-1.8622170179547264,32.77857142857148,0.0,2010010,0
1,2010,2,4,0.0,0.0,0.0,88.25,-18.083333333333332,49.75,1031.345238095238,0.1576893052302885,43.46446428571433,0.0,2010020,1
2,2010,3,4,0.0,0.0,0.0,131.89705882352942,-14.202380952380953,46.404761904761905,1028.2559523809523,5.01717408274785,38.84380952380955,0.0,2010030,2
3,2010,4,4,0.0,0.0,0.0,63.41353383458647,-17.74404761904762,29.68452380952381,1023.7380952380952,7.002927400468382,51.740416666666704,0.0,2010040,3
4,2010,5,4,0.0,0.0,0.0,76.41666666666667,-14.017857142857142,52.93452380952381,1027.625,3.8364558938329387,10.406071428571426,0.0,2010050,4
5,2010,6,4,0.0,0.0,0.0,80.01796407185628,-16.982142857142858,38.13095238095238,1029.4166666666667,5.144028103044489,14.127321428571438,0.0,2010060,5
6,2010,7,4,0.0,0.0,0.0,98.89880952380952,-16.13095238095238,36.339285714285715,1022.5595238095239,6.393052302888362,11.960714285714294,0.0,2010070,6
7,2010,8,4,0.0,0.0,0.0,133.52380952380952,-5.494047619047619,63.17261904761905,1015.5059523809524,8.617876658860268,17.373035714285706,4.7,2010080,7
8,2010,9,1,0.0,0.0,0.0,94.41071428571429,-10.154761904761905,52.607142857142854,1025.4642857142858,7.485948477751748,24.873630952380957,5.1,2010090,8
9,2010,10,1,0.0,0.0,0.0,70.55357142857143,-10.55952380952381,49.101190476190474,1024.3392857142858,8.149492583918814,26.571785714285728,10.1,2010100,9
10,2010,11,1,0.0,0.0,0.0,112.47590361445783,-7.119047619047619,51.86904761904762,1016.9166666666666,10.437743950039021,27.284285714285723,0.0,2010110,10
11,2010,12,1,0.0,0.0,0.0,73.82035928143712,-8.535714285714286,37.625,1022.0178571428571,12.994340359094455,19.812380952380956,4.4,2010120,11
12,2010,13,1,0.0,0.0,0.0,111.05970149253731,-5.166666666666667,44.73809523809524,1017.4345238095239,15.082552693208422,31.93678571428571,3.0,2010130,12
13,2010,14,1,0.0,0.0,0.0,77.2202380952381,-3.0773809523809526,42.56547619047619,1016.2440476190476,16.46330991412957,35.61613095238096,1.8,2010140,13
14,2010,15,1,0.0,0.0,0.0,128.51190476190476,-2.767857142857143,52.589285714285715,1020.6011904761905,14.297033567525371,55.277142857142884,0.1,2010150,14
15,2010,16,1,0.0,0.0,0.0,80.625,3.3333333333333335,55.967261904761905,1018.2440476190476,18.51249024199844,26.041428571428582,11.9,2010160,15
16,2010,17,1,0.0,0.0,0.0,35.595238095238095,-5.416666666666667,26.654761904761905,1010.1071428571429,19.8932474629196,110.7311904761905,0.0,2010170,16
17,2010,18,1,0.0,0.0,0.0,100.02380952380952,4.916666666666667,42.49404761904762,1004.4940476190476,23.650078064012494,32.42583333333333,13.9,2010180,17
18,2010,19,1,0.0,0.0,0.0,85.56547619047619,6.791666666666667,49.74404761904762,1013.9464285714286,22.68891491022639,31.215952380952384,1.8,2010190,18
19,2010,20,1,0.0,0.0,0.0,86.51204819277109,9.214285714285714,51.904761904761905,1004.2261904761905,25.543130366900876,13.691130952380956,6.7,2010200,19
20,2010,21,1,0.0,0.0,0.0,79.6441717791411,11.023809523809524,52.48809523809524,1009.0178571428571,26.240827478532395,11.17559523809525,10.7,2010210,20
21,2010,22,1,0.0,0.0,0.0,101.66666666666667,13.18452380952381,59.11309523809524,1014.5238095238095,25.821233411397344,9.451011904761904,6.0,2010220,21
22,2010,23,2,0.0,0.0,0.0,94.35833333333333,14.869047619047619,59.375,1011.1309523809524,27.128805620608897,13.328869047619056,10.8,2010230,22
23,2010,24,2,0.0,0.0,0.0,86.27710843373494,17.74404761904762,69.80952380952381,1003.1190476190476,27.460577673692438,6.46529761904761,7.5,2010240,23
24,2010,25,2,0.0,0.0,0.0,115.90277777777777,14.904761904761905,52.13095238095238,1006.3333333333334,28.91939890710383,10.517678571428576,1.1,2010250,24
25,2010,26,2,0.0,0.0,0.0,119.0952380952381,19.267857142857142,63.267857142857146,1000.9642857142857,30.270882123341124,9.95083333333334,4.9,2010260,25
26,2010,27,2,0.0,0.0,0.0,72.80357142857143,15.880952380952381,56.81547619047619,1003.7202380952381,30.11963309914132,13.622857142857145,45.1,2010270,26
27,2010,28,2,0.0,0.0,0.0,146.3095238095238,21.738095238095237,79.45238095238095,1006.827380952381,28.592505854800926,7.802142857142856,5.6,2010280,27
28,2010,29,2,0.0,0.0,0.0,125.38690476190476,22.428571428571427,72.49404761904762,1007.3869047619048,30.58801717408275,20.047321428571433,4.8,2010290,28
29,2010,30,2,0.0,0.0,0.0,163.97619047619048,23.476190476190474,72.80357142857143,1002.202380952381,31.471116315378627,19.488452380952364,0.2,2010300,29
30,2010,31,2,0.0,0.0,0.0,79.38690476190476,17.273809523809526,63.583333333333336,1007.4047619047619,28.377829820452774,26.369940476190486,25.4,2010310,30
31,2010,32,2,0.0,0.0,0.0,144.8695652173913,19.095238095238095,65.89880952380952,1002.9880952380952,30.075722092115534,13.270595238095241,0.1,2010320,31
32,2010,33,2,0.0,0.0,0.0,108.6797385620915,19.458333333333332,72.85119047619048,1010.8035714285714,28.24121779859485,18.872499999999995,39.7,2010330,32
33,2010,34,2,0.0,0.0,0.0,81.05357142857143,17.625,67.80357142857143,1012.3452380952381,27.645979703356737,10.292738095238095,0.0,2010340,33
34,2010,35,2,0.0,0.0,0.0,98.45833333333333,18.886904761904763,74.51190476190476,1011.8571428571429,27.143442622950836,6.473154761904755,10.7,2010350,34
35,2010,36,3,0.0,0.0,0.0,125.74342105263158,15.303571428571429,63.36904761904762,1011.0892857142857,26.89461358313818,8.55642857142858,0.0,2010360,35
36,2010,37,3,0.0,0.0,0.0,143.86503067484662,16.25595238095238,75.33928571428571,1012.3154761904761,25.02595628415302,23.444166666666653,31.1,2010370,36
37,2010,38,3,0.0,0.0,0.0,78.78571428571429,9.369047619047619,67.47619047619048,1017.8095238095239,21.147150663544103,10.736190476190476,23.8,2010380,37
38,2010,39,3,0.0,0.0,0.0,92.64935064935065,6.380952380952381,58.732142857142854,1018.2916666666666,20.620218579234965,47.16089285714286,7.1,2010390,38
39,2010,40,3,0.0,0.0,0.0,266.0,11.93452380952381,79.24404761904762,1013.9761904761905,20.75195160031226,3.302202380952376,25.4,2010400,39
40,2010,41,3,0.0,0.0,0.0,51.19879518072289,3.380952380952381,55.410714285714285,1019.7678571428571,18.327088212334115,33.224345238095246,32.2,2010410,40
41,2010,42,3,0.0,0.0,0.0,118.58928571428571,7.505952380952381,84.88095238095238,1023.6904761904761,15.726580796252918,5.681130952380949,11.8,2010420,41
42,2010,43,3,0.0,0.0,0.0,52.410714285714285,-3.363095238095238,50.67261904761905,1029.625,13.950624512099926,19.08434523809523,0.0,2010430,42
43,2010,44,3,0.0,0.0,0.0,120.28070175438596,-1.375,54.839285714285715,1022.0,14.71174863387977,15.107380952380947,0.0,2010440,43
44,2010,45,3,0.0,0.0,0.0,54.73809523809524,-6.875,52.211309523809526,1021.985119047619,10.349921935987506,82.86261904761906,0.0,2010450,44
45,2010,46,3,0.0,0.0,0.0,242.9345238095238,-3.1845238095238093,70.29166666666667,1019.375,9.871779859484775,93.60577380952381,0.0,2010460,45
46,2010,47,3,0.0,0.0,0.0,110.83734939759036,-12.0,42.55952380952381,1021.8214285714286,8.154371584699451,20.156011904761908,0.0,2010470,46
47,2010,48,3,0.0,0.0,0.0,151.1845238095238,-7.321428571428571,61.232142857142854,1017.7857142857143,8.061670569867289,17.049821428571427,0.0,2010480,47
48,2010,49,4,0.0,0.0,0.0,82.74404761904762,-13.154761904761905,38.535714285714285,1017.4880952380952,7.968969555035123,42.2006547619048,0.0,2010490,48
49,2010,50,4,0.0,0.0,0.0,92.69642857142857,-18.88095238095238,30.708333333333332,1022.2380952380952,5.0562060889929725,46.2543452380953,0.0,2010500,49
50,2010,51,4,0.0,0.0,0.0,135.67857142857142,-17.303571428571427,37.49404761904762,1023.375,4.504879000780635,16.514702380952382,0.0,2010510,50
51,2010,52,4,0.0,0.0,0.0,35.773109243697476,-19.575,31.75,1021.0833333333334,3.509562841530051,177.1026666666667,0.0,2010520,51
52,2010,53,4,0.0,0.0,0.0,111.71428571428571,-12.458333333333334,68.10416666666667,1021.5416666666666,1.995446265938072,36.75208333333333,11.2,2010530,52
53,2011,1,4,0.0,0.0,0.0,68.77777777777777,-18.083333333333332,36.63095238095238,1031.9464285714287,3.441256830601092,140.52690476190477,0.0,2011010,53
54,2011,2,4,0.0,0.0,0.0,49.745098039215684,-21.18452380952381,29.31547619047619,1029.5654761904761,2.870413739266197,66.62660714285714,0.0,2011020,54
55,2011,3,4,0.0,0.0,0.0,36.56547619047619,-20.898809523809526,31.488095238095237,1031.5595238095239,2.3239656518345035,52.48607142857143,0.0,2011030,55
56,2011,4,4,0.0,0.0,0.0,32.833333333333336,-20.821428571428573,30.351190476190474,1036.470238095238,2.8460187353629975,49.2144642857143,0.0,2011040,56
57,2011,5,4,0.0,0.0,0.0,74.19047619047619,-15.535714285714286,33.86904761904762,1021.8630952380952,7.578649492583916,26.66446428571432,0.0,2011050,57
58,2011,6,4,0.0,0.0,0.0,84.56547619047619,-10.267857142857142,61.80357142857143,1025.422619047619,5.06108508977361,19.103511904761927,3.1,2011060,58
59,2011,7,4,0.0,0.0,0.0,209.51785714285714,-9.678571428571429,57.773809523809526,1026.25,6.319867291178766,6.382142857142854,0.0,2011070,59
60,2011,8,4,0.0,0.0,0.0,234.32738095238096,-5.815476190476191,65.63690476190476,1023.8809523809524,8.383684621389532,11.216190476190476,3.6,2011080,60
61,2011,9,1,0.0,0.0,0.0,37.26993865030675,-12.398809523809524,32.00595238095238,1024.0119047619048,10.637782982045279,44.87000000000002,0.0,2011090,61
